AuthorID,Author,Content
211534205862150144,spirits#8236,"funny, you guys don’t look drewish,ooooh burn"
221687883852021770,cee#5151,"> @cee welcome favorite book and li?
@kyo ummm for storyline and action etc it would be it lives, for customization platnium and Queen b because of the accessorisation you can do,for li hmmm,I need to think about that"
308738655223152642,Black Scepter#7870,"i'm indian,and literally nobody uses t-series,👍 i gotchu,Yeah, the origin's from the iconic Jasmine Masters.,She said that when she hit her balls on a table and interjected with that phrase.,I'm not exactly sure about Jasmine's pronouns (Wikipedia says ""he"" but the Drag Race wiki says ""she"") but the phrase gained popularity on gay Twitter and black Twitter.,But now it's been overused, mainly because of VSCO girls and other people using it randomly.,hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,:ethink:,v s c o,i'll play \**** games,wot,my four-legged friend is not my valentine lmao,uwu,uno,clue > uno,it's the best board game ever.,You solve a murder.,Who committed the murder, with what weapon, and where,OMG you're missing out,FUCK MONOPOLY,It's called Cluedo outside of North America @Deleted User,https://en.wikipedia.org/wiki/Cluedo,I have like 2 versions of Monopoly and 5 Clue versions.,I like the gimmickiness of the Empire version of Monopoly,Chess is good but I lost all the pieces,Lol I never met my grandpas,Lmao,lmao my mom won't play clue because it has murder in it,clue + ludo = cluedo,hence the north american name,@oge Yes. That's literally why the creator of the game named it that. It was originally in the UK, but in the 60s it was imported to the United States as Clue.,No I mean the name was a play on words.,lmao i'm glad that this year's juniors got their caaspp cancelled,good for them,are you a junior in california?,oh wait nvm,the SAT 🤮,ugh i went to a high school of high-scoring asians so everything was bad,like if you didn't get a 1500 a lot of people felt embarassed,i know i did,lmao it's fine the sat doesn't mean shit 😂,my parents after spending $6000 on sat prep and seeing me not even get a 1500,i mean i was in the top 99% but NO,why is the sat so hard,and why is it geared towards smart people,i have no idea what the jee mains is,is that an indian thing,tea,remember the adversity score they wanted to add,My parents are Indian so I remember my dad talking about like PCM stuff.,my dad: become a computer scientist
me with a b in honors physics: 🙃,omg stop,AP Spanish was SO hard,my school was horrible,If you didn't take like 4 weighted classes junior year you were kinda fucked,so i took 2 honors and 2 aps,heck i felt embarassed because i didn't take apush,and because so many other people were doing 5 aps,@Raven are you ready for the comparacion cultural,es muy mal,the way he didn't respond because he's studying for his spanish exam 👍,lmao i remember taking spanish 1 in middle school,i could have had the highest score in the class but i kept talking so much,that my grade went down,lmao i still had a good grade,but like bruh,to be fair spanish came easy to me because languages were fun,physics on the other hand...,👹,teacher: hey what was your answer
me: -9 kg
teacher: bitch how's your mass negative,uh here are some tips,speak espanol,i'm a non-native,oh yeah use subjunctive,the graders have a boner for subjunctive,that's all i can say,Ugh the MC and writing saved me,if i only had speaking i would die,sksksk my cousin who lives nearby has their spanish exam soon too,i feel so sorry for him because he can write well but can't speak for shit,are you a sophomore? @Raven,so proud,look at him going places,mira a el yendo a lugares,i'm too lazy to accent,is that your only ap class,i mean this year,cool,i also took 1 then,ap world gang 😤,fuck those kids now who take ap world,back in my day we had to learn all the history from 3200 bc to the present,now they have to do 1200 - present,and bc of corona this year it's just 1200 - 1900,not to brag but back then i was smart,not now though 🤡,yep,make sure to remove any chrome extensions btw,also log in 30 minutes beforehand,yeah bc of the app,for world languages only,eww ap lit,don't read it unless you want to read 8 books that year,in my school it's 4 a year,but ap lit does 8,ap euro's boring,all those white people,and EVERYONE is named frederick or leopold,probs fake,Happy birthday!!! 🎂,does anyone have a link to a m*dded version of Originals,🙈,thank you king 😔"
373187896699781120,Maxroberts99#3809,"Hey guys,That’s a really hard one there’s so many good books,I’m going to get a lot of shit for this but I actually liked Sunkissed,Not my favorite book of all time but it was good,My favorite is probably OH,Lovehacks is pretty good,Ben is probably my favorite LI tbh,And I also really liked Sumire from PTR,What about you?,ES was awesome but I went with Quinn,I have a weakness for redheads lmao,Oh I also really liked Big Sky,Went with Juliette,Who did you go with in HSS?,Emma the first time around, then I played it again right before CA came out and went with Maria,Who did you guys choose as your LI in Class Act?,You're in grad school?,What are you going for?,Oh wow that's really cool! I'm still working on my undergrad,Thanks!,Undergrad definitely isn't like it is in Choices lmao,And romance,I have the expensive ass dorm room that's about it,The worst part is I'm paying all this money to be on campus for two in person classes a week,Gen eds suck,I just have two gen eds left. Math and science,Not looking forward to it,I haven't taken a math class in 4 years,I'm in my junior year and I've changed my major twice already and I still don't know what I want to do,Right now it's English,It is fun and I enjoy the creative writing part of it but all the literature classes we have to take are really hard,And I'm not sure what I'm going to be able to do with an English degree,I wrote a 10,000 word story just for fun,Actually I can't. The education track is a whole different thing and it'd be twice the work,Nah, not really my thing,I'm considering completely switching to hospitality and tourism,Yeah probably, but I think it'd be worth it,That's under the umbrella of a business degree so I could do a lot with it,Funny you say that, I am taking courses in German,Because the English major requires that you take a foreign language,And yeah Viv that is the flip side of it. I can't imagine spending 20+ years in the service industry,I really have no idea what I want to do,My issue is I don't even know what I should get a degree in,And it's already way past time to decide,I have a minor. Criminal justice. That's what I started out majoring in,I've considered law school,But I could never pass the LSAT,Yes,I don't know if I could do another 3 years of school,Plus it's expensive as fuck,The ultimate dream would be to write for a TV show, hence the English major,But the odds of getting into that are slim to none,And I'd have to live in LA which I would hate,Even cooler than that though would be to write for a video game but there's even fewer jobs there,I might just say fuck it and do the education track of the English degree,> yeah iirc riot games are hosting some internships this fall for college students that want to beef up their resume and some of their internships are in writing so if u want to u should definitely check that out
@Altair only problem with that is I don't play league lmao,I worked retail for a year,I feel like HR is even more paperwork than being a lawyer,It's all about who you know and what you've done,How’s everyone’s day been?,You’re 12 hours ahead of me,Yep!,I live in the south! Where is she studying?,I really hope Sienna becomes an LI,Who knows"
434821263354232843,Sceptik#6965,"Glad to be here!,That's a hard one, I have a lot of favorites but I'll go with ILB, and my favorite LI is Kamilah"
488049679976759305,HaedHaze#7884,"Hello there,Favourite book is probably TC&TF and i have no idea when it comes to fave LI because there a quite a few i like,the bartie with a gun picture is pretty good honestly,is that a picture of gru underneath/,figures,that pregnant male isnt even from the game,all the babies are,better than the baBu baby,it looked so huge at like 3 weeks,thats gonna be malformed,babys look wierd irl, so thats fair,parents love,""it has my nose"" - no it doesnt it barely even have a nose yet,magic,i dont think its like taking a shit,i mean, pros of having a C section:,your kid can kill macbeth,i mean to have a baby during the pandemic, it wouldve had to ahve been concieved before,before the pandemic was even known,doggos are pretty great,just hire a hitman to kill you, you wont sleep if you're constantly afraid someones gonna kill you!,I was *this* close to clicking it,Close but not close enough!,Neither, they look like they'd either be good or terrible with no Inbetween,Glad to be a good guesser!,TH:M is choies's example of how to do a standalone properly,openended for headcannons, but still with a satisfactory ending,platinum's p good, though i kept forgetting to not skip the songs while reading it lmao,Awww,Good dog :)),hey does anybody know how to see the server icon as an original image? my screens kinda bad and i cant rlly tell which characters are on there,thankss"
492599210357555201,Winny#4584,"Hiii,Favorite book
It lives beneath,And fav lis Nia,Same too many but choosed nia,So I want a color,Oh already have,Hmm can I get orange,Color,Thank you so much,YouTube back here too!!!,Hey John wick.,Sup.,Oh. Ok. You are my neighbour I see.,You live in MH I live in MP.,Yep. :hawyee:,:hawyee:,Yeah, it's amazing."
542162907333525508,conceptualisedbygogol#8142,"thanks!,Interesting, no surprises here tbh,it's usually modded for premium,don't know where else to do this but apparently PB has a new app in the works or sth,this is separate from ""Project Manager (Choices)"",sooooo,Well whatta you know,Me: Installs Rebel Inc for the first time
      : Reads the instructions
      : Aces the tutorial
*let me do brutal mode for the actual thing, what could go wrong?*
**Dies twice, in three years' time each time**,hm.,Depends on the kind of math,Ah yes, badshah. Hhh."
617378411652055080,lion_raider#2667,My favourite book is bloodbound but my favourite li has gotta be Charlie from DS
622656139389042699,Drawesome 🦝🐻#9263,"Hello there!,And my favorite book is BOLAS and favorite Li Aiden.,Yeah, tho I spended like 20 diamonds only in BOLAS.,Lol I was trying to get most amount of points without spending a single diamond but it's difficult not to spend a single diamonds.,> i spent half of my surplus xd
@DaHomieDrew many did that lol.,Same. Pb has made a good book after so many days.,Like, I really enjoyed the book but it kind of sucks seeing both Witness and Bolas getting 2nd book.,Thank you!,> @Drawesome 🦝🐻 right? this heteronormative genderlocked smut needs to end
@DaHomieDrew totally agreed. I think this book doesn't deserve 2nd book and pahh why is it getting so many chapters?,Meh, I dislike this book and don't mind me and some people call it wetness 🤣,It is. And the diamond system sucks in wetness. Not to mention the bratty MC.,Exactly! You know, once a user called Wetness trashy and some users got triggered cuz they like the book.,Weird liking....,Loll they surely do,Can't blame them. 
What do you hate the most about wetness?,Actually there is something good.,Diamonds we get at end of the chapter,I kind of feel bad that good outfits and hairstyles were wasted here.,> they're so beautiful but the MC wants to hook up on every square inch 🤡
@DaHomieDrew she does. Like she gets turned on from everything. Wtf?,Hii there @azula,I am fine. How are you?,And yeah, Asian squad tho I didn't knew so many played choices.,I am a South Asian!,Yeah😅,They just forget and assume all are east Asians,Yep.,And they forget other countries exist 🤣,Tho I can't blame them, Asia is mostly looked by that aspect. That is Chinese and  Japanese.,I want a pet but my parents say
yOu cAnT mAnAge yOuR sElF aNd yOu wAnT pEt?,sO cOOl,ThAt sOuNdS sO sWeeT!,iTs gOOd tO sEE yOur fAmilY lOvEs hIm,Lol,Moral of the story:- always enter a fake age.,😂,Hmm.,Welcome!,It's 6:28 pm,Yes, I am from India.,What about you?,Ohh I see.,Best of luck!,Good luck!,I hope things would be alright soon."
